timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724091782258,1784,HTTP Request,200,OK,Thread Group 1-7,text,true,,334357,118,12,12,https://www.daraz.com.bd/,1004,0,898
1724091780760,3579,HTTP Request,200,OK,Thread Group 1-1,text,true,,334381,118,11,11,https://www.daraz.com.bd/,2497,0,2391
1724091780765,3627,HTTP Request,200,OK,Thread Group 1-2,text,true,,334350,118,10,10,https://www.daraz.com.bd/,2497,0,2390
1724091781240,3352,HTTP Request,200,OK,Thread Group 1-4,text,true,,334388,118,10,10,https://www.daraz.com.bd/,2022,0,1922
1724091781905,2750,HTTP Request,200,OK,Thread Group 1-6,text,true,,334404,118,9,9,https://www.daraz.com.bd/,1357,0,1251
1724091782957,1812,HTTP Request,200,OK,Thread Group 1-9,text,true,,334411,118,9,9,https://www.daraz.com.bd/,339,0,249
1724091783656,1466,HTTP Request,200,OK,Thread Group 1-11,text,true,,334352,118,9,9,https://www.daraz.com.bd/,321,0,240
1724091780920,4702,HTTP Request,200,OK,Thread Group 1-3,text,true,,334348,118,9,9,https://www.daraz.com.bd/,2441,0,2294
1724091784008,1826,HTTP Request,200,OK,Thread Group 1-12,text,true,,334381,118,9,9,https://www.daraz.com.bd/,380,0,281
1724091782609,3245,HTTP Request,200,OK,Thread Group 1-8,text,true,,334357,118,8,8,https://www.daraz.com.bd/,775,0,618
1724091784705,1494,HTTP Request,200,OK,Thread Group 1-14,text,true,,334356,118,8,8,https://www.daraz.com.bd/,310,0,230
1724091784406,1902,HTTP Request,200,OK,Thread Group 1-13,text,true,,334342,118,7,7,https://www.daraz.com.bd/,415,0,313
1724091781556,4769,HTTP Request,200,OK,Thread Group 1-5,text,true,,334404,118,6,6,https://www.daraz.com.bd/,2511,0,2368
1724091783307,3727,HTTP Request,200,OK,Thread Group 1-10,text,true,,334384,118,7,7,https://www.daraz.com.bd/,629,0,457
1724091785756,1663,HTTP Request,200,OK,Thread Group 1-17,text,true,,334360,118,6,6,https://www.daraz.com.bd/,362,0,269
1724091785407,2357,HTTP Request,200,OK,Thread Group 1-16,text,true,,334360,118,5,5,https://www.daraz.com.bd/,394,0,295
1724091786509,1488,HTTP Request,200,OK,Thread Group 1-19,text,true,,334381,118,4,4,https://www.daraz.com.bd/,328,0,243
1724091785058,4589,HTTP Request,200,OK,Thread Group 1-15,text,true,,334374,118,3,3,https://www.daraz.com.bd/,2381,0,2237
1724091786818,2960,HTTP Request,200,OK,Thread Group 1-20,text,true,,334396,118,2,2,https://www.daraz.com.bd/,605,0,455
1724091786107,4751,HTTP Request,200,OK,Thread Group 1-18,text,true,,334404,118,1,1,https://www.daraz.com.bd/,2522,0,2372
